adler32	1.2.0	0	|
adler2	2.0.1	0	|
adler2	2.0.0	0	|
adler	1.0.2	0	|
addr2line	0.24.2	2	./.crates-cache/addr2line-0.24.2/src/loader.rs:25:type Error = Box<dyn std::error::Error>;|./.crates-cache/addr2line-0.24.2/src/unit.rs:531:    unit_iter: Box<dyn Iterator<Item = (&'ctx ResUnit<R>, &'ctx gimli::Range)> + 'ctx>,||
addr2line	0.25.1	2	./.crates-cache/addr2line-0.25.1/src/loader.rs:25:type Error = Box<dyn std::error::Error>;|./.crates-cache/addr2line-0.25.1/src/unit.rs:540:    unit_iter: Box<dyn Iterator<Item = (&'ctx ResUnit<R>, &'ctx gimli::Range)> + 'ctx>,||
ahash	0.4.7	2	./.crates-cache/ahash-0.4.7/tests/map_tests.rs:154:fn hash<T: Hasher>(b: &impl Hash, hasher: &dyn Fn() -> T) -> u64 {|./.crates-cache/ahash-0.4.7/src/hash_quality_test.rs:230:fn hash<H: Hash, T: HasherExt>(b: &H, hasher: &dyn Fn() -> T) -> u64 {||
ahash	0.7.8	4	./.crates-cache/ahash-0.7.8/src/hash_quality_test.rs:229:fn hash<H: Hash, T: Hasher>(b: &H, hash_builder: &dyn Fn() -> T) -> u64 {|./.crates-cache/ahash-0.7.8/src/random_state.rs:54:static RAND_SOURCE: OnceBox<Box<dyn RandomSource + Send + Sync>> = OnceBox::new();|./.crates-cache/ahash-0.7.8/src/random_state.rs:188:    fn get_src() -> &'static dyn RandomSource {|
ahash	0.8.11	4	./.crates-cache/ahash-0.8.11/src/hash_quality_test.rs:232:fn hash<H: Hash, T: Hasher>(b: &H, hash_builder: &dyn Fn() -> T) -> u64 {|./.crates-cache/ahash-0.8.11/src/random_state.rs:118:        static RAND_SOURCE: OnceBox<Box<dyn RandomSource + Send + Sync>> = OnceBox::new();|./.crates-cache/ahash-0.8.11/src/random_state.rs:177:            fn get_src() -> &'static dyn RandomSource {|
aho-corasick	0.7.19	22	./.crates-cache/aho-corasick-0.7.19/src/prefilter.rs:67:    fn clone_prefilter(&self) -> Box<dyn Prefilter>;|./.crates-cache/aho-corasick-0.7.19/src/prefilter.rs:107:    fn clone_prefilter(&self) -> Box<dyn Prefilter> {|./.crates-cache/aho-corasick-0.7.19/src/prefilter.rs:123:pub struct PrefilterObj(Box<dyn Prefilter>);|
alloc-no-stdlib	2.0.4	0	|
alloc-stdlib	0.2.2	0	|
android_system_properties	0.1.5	0	|
android-tzdata	0.1.1	0	|
allocator-api2	0.2.21	11	./.crates-cache/allocator-api2-0.2.21/src/stable/boxed.rs:1655:impl<A: Allocator> Box<dyn Any, A> {|./.crates-cache/allocator-api2-0.2.21/src/stable/boxed.rs:1710:            let (raw, alloc): (*mut dyn Any, _) = Box::into_raw_with_allocator(self);|./.crates-cache/allocator-api2-0.2.21/src/stable/boxed.rs:1716:impl<A: Allocator> Box<dyn Any + Send, A> {|
aho-corasick	1.0.1	11	./.crates-cache/aho-corasick-1.0.1/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./.crates-cache/aho-corasick-1.0.1/src/util/prefilter.rs:466:            let finder: Arc<dyn PrefilterI> = match len {|./.crates-cache/aho-corasick-1.0.1/src/util/prefilter.rs:715:            let finder: Arc<dyn PrefilterI> = match len {|
aho-corasick	1.1.2	12	./.crates-cache/aho-corasick-1.1.2/src/packed/teddy/builder.rs:322:    imp: Arc<dyn SearcherT>,|./.crates-cache/aho-corasick-1.1.2/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./.crates-cache/aho-corasick-1.1.2/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
ansi-width	0.1.0	0	|
ansi_colours	1.2.1	0	|
ansi_colours	1.2.3	0	|
aho-corasick	1.1.4	12	./.crates-cache/aho-corasick-1.1.4/src/packed/teddy/builder.rs:330:    imp: Arc<dyn SearcherT>,|./.crates-cache/aho-corasick-1.1.4/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./.crates-cache/aho-corasick-1.1.4/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
aho-corasick	1.1.3	12	./.crates-cache/aho-corasick-1.1.3/src/packed/teddy/builder.rs:330:    imp: Arc<dyn SearcherT>,|./.crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./.crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
ansi_term	0.12.1	0	|
anstyle	0.3.5	7	./.crates-cache/anstyle-0.3.5/src/style.rs:102:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-0.3.5/src/style.rs:137:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-0.3.5/src/effect.rs:165:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstream	0.6.20	28	./.crates-cache/anstream-0.6.20/src/wincon.rs:117:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.20/src/wincon.rs:135:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.20/src/wincon.rs:161:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstream	0.6.12	14	./.crates-cache/anstream-0.6.12/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.12/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.12/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anes	0.1.6	13	./.crates-cache/anes-0.1.6/src/parser/engine.rs:111:    fn handle_possible_esc(&mut self, provider: &mut dyn Provide, byte: u8, more: bool) -> bool {|./.crates-cache/anes-0.1.6/src/parser/engine.rs:148:    fn handle_possible_utf8_code_points(&mut self, provider: &mut dyn Provide, byte: u8) -> bool {|./.crates-cache/anes-0.1.6/src/parser/engine.rs:175:    fn advance_ground_state(&mut self, provider: &mut dyn Provide, byte: u8) {|
anstream	0.6.21	28	./.crates-cache/anstream-0.6.21/src/wincon.rs:123:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.21/src/wincon.rs:141:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.21/src/wincon.rs:167:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstyle	1.0.0	7	./.crates-cache/anstyle-1.0.0/src/style.rs:102:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.0/src/style.rs:137:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.0/src/effect.rs:165:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstream	0.6.18	28	./.crates-cache/anstream-0.6.18/src/wincon.rs:116:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.18/src/wincon.rs:134:    raw: &mut dyn anstyle_wincon::WinconStream,|./.crates-cache/anstream-0.6.18/src/wincon.rs:160:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstream	0.6.4	14	./.crates-cache/anstream-0.6.4/src/wincon.rs:108:fn write(raw: &mut dyn RawStream, state: &mut WinconBytes, buf: &[u8]) -> std::io::Result<usize> {|./.crates-cache/anstream-0.6.4/src/wincon.rs:122:fn write_all(raw: &mut dyn RawStream, state: &mut WinconBytes, buf: &[u8]) -> std::io::Result<()> {|./.crates-cache/anstream-0.6.4/src/wincon.rs:145:    raw: &mut dyn RawStream,|
anstyle	1.0.10	7	./.crates-cache/anstyle-1.0.10/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.10/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.10/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstyle-parse	0.2.0	0	|
anstyle-parse	0.2.1	0	|
anstyle	1.0.11	7	./.crates-cache/anstyle-1.0.11/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.11/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./.crates-cache/anstyle-1.0.11/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
